latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd28,rcvr_clk_ns
39.7149093,-105.11522240277779,1693.7724,1.05750,163,2019,0.999335,-40.132
39.714909302777784,-105.11522242222222,1693.7884,1.05722,163,2019,0.999335,-39.163
39.71490925000002,-105.11522245277774,1693.7817,1.05694,163,2019,0.999335,-39.782
39.7149092888889,-105.11522244999996,1693.7808,1.05667,163,2019,0.999335,-39.242
39.71490927777778,-105.11522243333333,1693.7835,1.05639,163,2019,0.999335,-38.916
39.71490929166668,-105.115222425,1693.7779,1.05611,163,2019,0.999335,-38.180
39.71490934444444,-105.11522225277776,1693.7913,1.05583,163,2019,0.999335,-38.158
39.7149093888889,-105.11522215555554,1693.8095,1.05556,163,2019,0.999335,-38.676
39.7149093,-105.11522222777778,1693.7847,1.05528,163,2019,0.999335,-40.053
39.7149092138889,-105.11522216944444,1693.7717,1.05500,163,2019,0.999335,-40.138
39.71490921944446,-105.1152224111111,1693.7725,1.05472,163,2019,0.999335,-40.149
39.71490921944446,-105.11522241388889,1693.7707,1.05444,163,2019,0.999335,-39.749
39.71490929444445,-105.11522238333332,1693.772,1.05417,163,2019,0.999335,-38.746
39.71490928611112,-105.11522237499997,1693.7618,1.05389,163,2019,0.999335,-40.788
39.71490924444445,-105.11522231666665,1693.7519,1.05361,163,2019,0.999335,-40.196
39.71490915833334,-105.11522238333332,1693.7454,1.05333,163,2019,0.999335,-41.199
39.71490920277778,-105.11522236666666,1693.747,1.05306,163,2019,0.999335,-41.378
39.71490919722223,-105.11522224999997,1693.7722,1.05278,163,2019,0.999335,-40.525
39.714909133333336,-105.11522226111109,1693.7543,1.05250,163,2019,0.999335,-40.961
39.71490922222223,-105.11522227777778,1693.7811,1.05222,163,2019,0.999335,-41.458
39.71490924722224,-105.1152223,1693.7719,1.05194,163,2019,0.999335,-41.227
39.71490926944445,-105.115222275,1693.7695,1.05167,163,2019,0.999335,-40.577
39.71490925000002,-105.11522228333331,1693.7689,1.05139,163,2019,0.999335,-40.640
39.714909266666666,-105.11522223888888,1693.7672,1.05111,163,2019,0.999335,-41.185
39.71490922222223,-105.11522224444442,1693.7575,1.05083,163,2019,0.999335,-40.797
39.71490924722224,-105.1152222472222,1693.7674,1.05056,163,2019,0.999335,-40.173
39.71490924722224,-105.11522221944443,1693.7626,1.05028,163,2019,0.999335,-39.359
39.71490925277779,-105.11522226388887,1693.7686,1.05000,163,2019,0.999335,-41.146
39.71490925277779,-105.11522228611109,1693.7703,1.04972,163,2019,0.999335,-40.871
