N1000831.DNG,2019:03:11 14:56:40,15.6,100,1/1600
N1000832.DNG,2019:03:11 14:56:41,15.6,100,1/1600
N1000833.DNG,2019:03:11 14:56:42,15.6,100,1/1600
N1000834.DNG,2019:03:11 14:56:43,15.6,100,1/1600
N1000835.DNG,2019:03:11 14:56:44,15.6,100,1/1600
N1000836.DNG,2019:03:11 14:56:45,15.6,100,1/1600
N1000837.DNG,2019:03:11 14:56:46,15.6,100,1/1600
N1000838.DNG,2019:03:11 14:56:47,15.6,100,1/1600
N1000839.DNG,2019:03:11 14:56:48,15.6,100,1/1600
N1000840.DNG,2019:03:11 14:56:49,15.6,100,1/1600
N1000841.DNG,2019:03:11 14:56:50,15.6,100,1/1600
N1000842.DNG,2019:03:11 14:56:51,15.6,100,1/1600
N1000843.DNG,2019:03:11 14:56:52,15.6,100,1/1600
N1000844.DNG,2019:03:11 14:56:53,15.6,100,1/1600
N1000845.DNG,2019:03:11 14:56:54,15.6,100,1/1600
N1000846.DNG,2019:03:11 14:56:55,15.6,100,1/1600
N1000847.DNG,2019:03:11 14:56:56,15.6,100,1/1600
N1000848.DNG,2019:03:11 14:56:57,15.6,100,1/1600
N1000849.DNG,2019:03:11 14:56:58,15.6,100,1/1600
N1000850.DNG,2019:03:11 14:56:59,15.6,100,1/1600
N1000851.DNG,2019:03:11 14:57:00,15.6,100,1/1600
N1000852.DNG,2019:03:11 14:57:01,15.6,100,1/1600
N1000853.DNG,2019:03:11 14:57:02,15.6,100,1/1600
N1000854.DNG,2019:03:11 14:57:03,15.6,100,1/1600
N1000855.DNG,2019:03:11 14:57:04,15.6,100,1/1600
N1000856.DNG,2019:03:11 14:57:05,15.6,100,1/1600
N1000857.DNG,2019:03:11 14:57:06,15.6,100,1/1600
N1000858.DNG,2019:03:11 14:57:07,15.6,100,1/1600
N1000859.DNG,2019:03:11 14:57:08,15.6,100,1/1600
N1000860.DNG,2019:03:11 14:57:09,15.6,100,1/1600
N1000861.DNG,2019:03:11 14:57:10,15.6,100,1/1600
N1000862.DNG,2019:03:11 14:57:11,15.6,100,1/1600
N1000863.DNG,2019:03:11 14:57:12,15.6,100,1/1600
N1000864.DNG,2019:03:11 14:57:13,15.6,100,1/1600
N1000865.DNG,2019:03:11 14:57:14,15.6,100,1/1600
N1000866.DNG,2019:03:11 14:57:15,15.6,100,1/1600
N1000867.DNG,2019:03:11 14:57:16,15.6,100,1/1600
N1000868.DNG,2019:03:11 14:57:17,15.6,100,1/1600
N1000869.DNG,2019:03:11 14:57:18,15.6,100,1/1600
N1000870.DNG,2019:03:11 14:57:19,15.6,100,1/1600
N1000871.DNG,2019:03:11 14:57:20,15.6,100,1/1600
N1000872.DNG,2019:03:11 14:57:21,15.6,100,1/1600
N1000873.DNG,2019:03:11 14:57:22,15.6,100,1/1600
N1000874.DNG,2019:03:11 14:57:23,15.6,100,1/1600
N1000875.DNG,2019:03:11 14:57:24,15.6,100,1/1600
N1000876.DNG,2019:03:11 14:57:25,15.6,100,1/1600
N1000877.DNG,2019:03:11 14:57:26,15.6,100,1/1600
N1000878.DNG,2019:03:11 14:57:27,15.6,100,1/1600
N1000879.DNG,2019:03:11 14:57:28,15.6,100,1/1600
N1000880.DNG,2019:03:11 14:57:29,15.6,100,1/1600
N1000881.DNG,2019:03:11 14:57:30,15.6,100,1/1600
N1000882.DNG,2019:03:11 14:57:31,15.6,100,1/1600
N1000883.DNG,2019:03:11 14:57:32,15.6,100,1/1600
N1000884.DNG,2019:03:11 14:57:33,15.6,100,1/1600
N1000885.DNG,2019:03:11 14:57:34,15.6,100,1/1600
N1000886.DNG,2019:03:11 14:57:35,15.6,100,1/1600
N1000887.DNG,2019:03:11 14:57:36,15.6,100,1/1600
N1000888.DNG,2019:03:11 14:57:37,15.6,100,1/1600
N1000889.DNG,2019:03:11 14:57:38,15.6,100,1/1600
N1000890.DNG,2019:03:11 14:57:39,15.6,100,1/1600
N1000891.DNG,2019:03:11 14:57:40,15.6,100,1/1600
N1000892.DNG,2019:03:11 14:57:41,15.6,100,1/1600
N1000893.DNG,2019:03:11 14:57:42,15.6,100,1/1600
N1000894.DNG,2019:03:11 14:57:43,15.6,100,1/1600
N1000895.DNG,2019:03:11 14:57:44,15.6,100,1/1600
N1000896.DNG,2019:03:11 14:57:45,15.6,100,1/1600
N1000897.DNG,2019:03:11 14:57:46,15.6,100,1/1600
N1000898.DNG,2019:03:11 14:57:47,15.6,100,1/1600
N1000899.DNG,2019:03:11 14:57:48,15.6,100,1/1600
N1000900.DNG,2019:03:11 14:57:49,15.6,100,1/1600
N1000901.DNG,2019:03:11 14:57:50,15.6,100,1/1600
N1000902.DNG,2019:03:11 14:57:51,15.6,100,1/1600
N1000903.DNG,2019:03:11 14:57:52,15.6,100,1/1600
N1000904.DNG,2019:03:11 14:57:53,15.6,100,1/1600
N1000905.DNG,2019:03:11 14:57:54,15.6,100,1/1600
N1000906.DNG,2019:03:11 14:57:55,15.6,100,1/1600
N1000907.DNG,2019:03:11 14:57:56,15.6,100,1/1600
N1000908.DNG,2019:03:11 14:57:57,15.6,100,1/1600
N1000909.DNG,2019:03:11 14:57:58,15.6,100,1/1600
N1000910.DNG,2019:03:11 14:57:59,15.6,100,1/1600
N1000911.DNG,2019:03:11 14:58:00,15.6,100,1/1600
N1000912.DNG,2019:03:11 14:58:01,15.6,100,1/1600
N1000913.DNG,2019:03:11 14:58:02,15.6,100,1/1600
N1000914.DNG,2019:03:11 14:58:03,15.6,100,1/1600
N1000915.DNG,2019:03:11 14:58:04,15.6,100,1/1600
N1000916.DNG,2019:03:11 14:58:05,15.6,100,1/1600
N1000917.DNG,2019:03:11 14:58:06,15.6,100,1/1600
N1000918.DNG,2019:03:11 14:58:07,15.6,100,1/1600
N1000919.DNG,2019:03:11 14:58:08,15.6,100,1/1600
N1000920.DNG,2019:03:11 14:58:09,15.6,100,1/1600
N1000921.DNG,2019:03:11 14:58:10,15.6,100,1/1600
N1000922.DNG,2019:03:11 14:58:11,15.6,100,1/1600
N1000923.DNG,2019:03:11 14:58:12,15.6,100,1/1600
N1000924.DNG,2019:03:11 14:58:13,15.6,100,1/1600
N1000925.DNG,2019:03:11 14:58:14,15.6,100,1/1600
N1000926.DNG,2019:03:11 14:58:15,15.6,100,1/1600
N1000927.DNG,2019:03:11 14:58:16,15.6,100,1/1600
N1000928.DNG,2019:03:11 14:58:17,15.6,100,1/1600
N1000929.DNG,2019:03:11 14:58:18,15.6,100,1/1600
N1000930.DNG,2019:03:11 14:58:19,15.6,100,1/1600
N1000931.DNG,2019:03:11 14:58:20,15.6,100,1/1600
N1000932.DNG,2019:03:11 14:58:21,15.6,100,1/1600
N1000933.DNG,2019:03:11 14:58:22,15.6,100,1/1600
N1000934.DNG,2019:03:11 14:58:23,15.6,100,1/1600
N1000935.DNG,2019:03:11 14:58:24,15.6,100,1/1600
N1000936.DNG,2019:03:11 14:58:25,15.6,100,1/1600
N1000937.DNG,2019:03:11 14:58:26,15.6,100,1/1600
N1000938.DNG,2019:03:11 14:58:27,15.6,100,1/1600
