Point number,Longitude,Latitude,Ellipsoid height,X Accuracy,Y Accuracy,Z Accuracy
DFC13S1A01,-105.1153689,39.71462527,1693.343,0.02326,0.02326,0.03326
DFC13S1A02,-105.1158887,39.71406533,1695.089,0.02326,0.02326,0.03326
DFC13S1A03,-105.1152651,39.7141387,1693.546,0.02326,0.02326,0.03326
DFC13S1A04,-105.1145071,39.71441087,1692.227,0.02326,0.02326,0.03326
DFC13S1A05,-105.1146035,39.71496754,1692.084,0.02326,0.02326,0.03326
DFC13S1A06,-105.1157067,39.71489502,1689.936,0.02326,0.02326,0.03326
DFC13S1A07,-105.116018,39.71466039,1691.045,0.02326,0.02326,0.03326
