Point number,Easting,Northing,Orthometric height,X Accuracy,Y Accuracy,Z Accuracy
DFC13S1A01,490111.271,4396090.558,1709.716,0.02326,0.02326,0.03326
DFC13S1A02,490066.639,4396028.471,1711.458,0.02326,0.02326,0.03326
DFC13S1A03,490120.104,4396036.544,1709.919,0.02326,0.02326,0.03326
DFC13S1A04,490185.106,4396066.669,1708.606,0.02326,0.02326,0.03326
DFC13S1A05,490176.924,4396128.461,1708.464,0.02326,0.02326,0.03326
DFC13S1A06,490082.359,4396120.533,1706.307,0.02326,0.02326,0.03326
DFC13S1A07,490055.638,4396094.528,1707.414,0.02326,0.02326,0.03326
